Cycle,FECRecNo,PACID,CID,Amount,Date,RealCode,Type,DI,FECCandID
2024,FEC-PAC-001,C00012345,N00012345,5000,01/20/2024,J2100,24K,D,H4CA12345
2024,FEC-PAC-002,C00067890,N00067890,5000,02/15/2024,J1200,24K,D,H4TX67890
2024,FEC-PAC-003,C00111111,N00098765,2500,03/01/2024,J2200,24K,D,H4CA09876
2024,FEC-PAC-004,C00222222,N00055555,5000,01/30/2024,Q1300,24K,D,H4NY55555
2024,FEC-PAC-005,C00333333,N00011111,3000,04/10/2024,P0400,24K,D,H4FL11111
2024,FEC-PAC-006,C00444444,N00022222,5000,02/25/2024,E1140,24K,D,H4OH22222
2024,FEC-PAC-007,C00555555,N00033333,2500,03/15/2024,J7050,24K,D,H4PA33333
2024,FEC-PAC-008,C00666666,N00044444,5000,05/05/2024,J1210,24K,D,H4GA44444
2024,FEC-PAC-009,C00777777,N00066666,2500,04/20/2024,J1500,24K,D,H4AZ66666
2024,FEC-PAC-010,C00888888,N00077777,5000,06/15/2024,N0000,24K,D,H4MI77777
2024,FEC-PAC-011,C00999999,N00012345,2500,07/10/2024,B5000,24K,D,H4CA12345
2024,FEC-PAC-012,C00101010,N00067890,5000,05/20/2024,F2100,24K,D,H4TX67890
2024,FEC-PAC-013,C00012345,N00098765,1000,08/01/2024,J2100,24K,D,H4CA09876
2024,FEC-PAC-014,C00222222,N00044444,2500,09/01/2024,Q1300,24E,I,H4GA44444
2024,FEC-PAC-015,C00333333,N00077777,1500,06/25/2024,P0400,24K,D,H4MI77777
